@relation 'pokemon-weka.filters.unsupervised.attribute.Add-TNOM-NClassification-Lstrong,medium,weak-Clast'

@attribute id numeric
@attribute name1 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute name2 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute name3 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute name4 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute name5 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute name6 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute strength numeric
@attribute Classification {strong?,weak?}

@data
1,12501,12471,12462,12480,12493,00000,318,weak?
3,12501,12471,12462,12496,12490,00000,525,strong?
4,12498,12488,12459,12466,00000,00000,309,weak?
6,12522,12470,12540,12489,12531,00000,534,strong?
7,12476,12491,12460,12513,00000,00000,314,weak?
9,12459,12513,12483,12463,12473,00000,530,strong?
10,12461,12515,12479,12500,12540,00000,195,weak?
11,12488,12521,12531,12475,12523,00000,205,weak?
13,12499,12540,12489,12523,00000,00000,195,weak?
14,12467,12463,12540,12531,00000,00000,205,weak?
16,12509,12483,12509,00000,00000,00000,251,weak?
17,12500,12472,12519,12531,00000,00000,349,weak?
18,12500,12472,12519,12483,12488,00000,479,strong?
19,12467,12521,12483,12479,00000,00000,253,weak?
21,12458,12491,12473,12474,12513,00000,262,weak?
23,12450,12540,12508,00000,00000,00000,288,weak?
25,12500,12459,12481,12517,12454,00000,320,weak?
26,12521,12452,12481,12517,12454,00000,485,strong?
27,12469,12531,12489,00000,00000,00000,300,weak?
28,12469,12531,12489,12497,12531,00000,450,strong?
29,12491,12489,12521,12531,00000,00000,275,weak?
31,12491,12489,12463,12452,12531,00000,505,strong?
32,12491,12489,12521,12531,00000,00000,273,weak?
34,12491,12489,12461,12531,12464,00000,505,strong?
35,12500,12483,12500,00000,00000,00000,323,weak?
36,12500,12463,12471,12540,00000,00000,483,strong?
37,12525,12467,12531,00000,00000,00000,299,weak?
38,12461,12517,12454,12467,12531,00000,505,strong?
39,12503,12522,12531,00000,00000,00000,270,weak?
41,12474,12496,12483,12488,00000,00000,245,weak?
42,12468,12523,12496,12483,12488,00000,455,strong?
43,12490,12478,12494,12463,12469,00000,320,weak?
45,12521,12501,12524,12471,12450,00000,490,strong?
46,12497,12521,12473,00000,00000,00000,285,weak?
48,12467,12531,12497,12531,00000,00000,305,weak?
49,12514,12523,12501,12457,12531,00000,450,strong?
50,12487,12451,12464,12480,00000,00000,265,weak?
52,12491,12515,12540,12473,00000,00000,290,weak?
54,12467,12480,12483,12463,00000,00000,320,weak?
55,12468,12523,12480,12483,12463,00000,500,strong?
56,12510,12531,12461,12540,00000,00000,305,weak?
57,12458,12467,12522,12470,12523,00000,455,strong?
58,12460,12540,12487,12451,00000,00000,350,weak?
59,12454,12452,12531,12487,12451,00000,555,strong?
60,12491,12519,12525,12514,00000,00000,300,weak?
62,12491,12519,12525,12508,12531,00000,510,strong?
63,12465,12540,12471,12451,00000,00000,310,weak?
65,12501,12540,12487,12451,12531,00000,500,strong?
66,12527,12531,12522,12461,12540,00000,305,weak?
68,12459,12452,12522,12461,12540,00000,505,strong?
69,12510,12480,12484,12508,12511,00000,300,weak?
71,12454,12484,12508,12483,12488,00000,490,strong?
72,12513,12494,12463,12521,12466,00000,335,weak?
73,12489,12463,12463,12521,12466,00000,515,strong?
74,12452,12471,12484,12502,12486,00000,300,weak?
76,12468,12525,12540,12491,12515,00000,495,strong?
78,12462,12515,12525,12483,12503,00000,500,strong?
79,12516,12489,12531,00000,00000,00000,315,weak?
80,12516,12489,12521,12531,00000,00000,490,strong?
81,12467,12452,12523,00000,00000,00000,325,weak?
82,12524,12450,12467,12452,12523,00000,465,strong?
83,12459,12514,12493,12462,00000,00000,352,weak?
84,12489,12540,12489,12540,00000,00000,310,weak?
85,12489,12540,12489,12522,12458,00000,460,strong?
86,12497,12454,12527,12454,00000,00000,325,weak?
87,12472,12517,12468,12531,00000,00000,475,strong?
88,12505,12488,12505,12479,12540,00000,325,weak?
89,12505,12488,12505,12488,12531,00000,500,strong?
90,12471,12455,12523,12480,12540,00000,305,weak?
91,12497,12523,12471,12455,12531,00000,525,strong?
