@relation 'pokemon-weka.filters.unsupervised.attribute.Add-TNOM-NClassification-Lstrong,medium,weak-Clast'

@attribute id numeric
@attribute name1 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute name2 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute name3 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute name4 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute name5 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute name6 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute strength numeric
@attribute Classification {strong,medium,weak}

@data
1,12501,12471,12462,12480,12493,00000,318,weak?
2,12501,12471,12462,12477,12454,00000,405,medium?
3,12501,12471,12462,12496,12490,00000,525,medium?
4,12498,12488,12459,12466,00000,00000,309,weak?
5,12522,12470,12540,12489,00000,00000,405,medium?
6,12522,12470,12540,12489,12531,00000,534,medium?
7,12476,12491,12460,12513,00000,00000,314,weak?
8,12459,12513,12540,12523,00000,00000,405,medium?
9,12459,12513,12483,12463,12473,00000,530,medium?
10,12461,12515,12479,12500,12540,00000,195,weak?
11,12488,12521,12531,12475,12523,00000,205,weak?
12,12496,12479,12501,12522,12540,00000,395,weak?
13,12499,12540,12489,12523,00000,00000,195,weak?
14,12467,12463,12540,12531,00000,00000,205,weak?
15,12473,12500,12450,12540,00000,00000,395,weak?
16,12509,12483,12509,00000,00000,00000,251,weak?
17,12500,12472,12519,12531,00000,00000,349,weak?
18,12500,12472,12519,12483,12488,00000,479,medium?
19,12467,12521,12483,12479,00000,00000,253,weak?
20,12521,12483,12479,00000,00000,00000,413,medium?
21,12458,12491,12473,12474,12513,00000,262,weak?
22,12458,12491,12489,12522,12523,00000,442,medium?
23,12450,12540,12508,00000,00000,00000,288,weak?
24,12450,12540,12508,12483,12463,00000,438,medium?
25,12500,12459,12481,12517,12454,00000,320,weak?
26,12521,12452,12481,12517,12454,00000,485,medium?
27,12469,12531,12489,00000,00000,00000,300,weak?
28,12469,12531,12489,12497,12531,00000,450,medium?
29,12491,12489,12521,12531,00000,00000,275,weak?
30,12491,12489,12522,12540,12490,00000,365,weak?
31,12491,12489,12463,12452,12531,00000,505,medium?
32,12491,12489,12521,12531,00000,00000,273,weak?
33,12491,12489,12522,12540,12494,00000,365,weak?
34,12491,12489,12461,12531,12464,00000,505,medium?
35,12500,12483,12500,00000,00000,00000,323,weak?
36,12500,12463,12471,12540,00000,00000,483,medium?
37,12525,12467,12531,00000,00000,00000,299,weak?
38,12461,12517,12454,12467,12531,00000,505,medium?
39,12503,12522,12531,00000,00000,00000,270,weak?
40,12503,12463,12522,12531,00000,00000,435,medium?
41,12474,12496,12483,12488,00000,00000,245,weak?
42,12468,12523,12496,12483,12488,00000,455,medium?
43,12490,12478,12494,12463,12469,00000,320,weak?
44,12463,12469,12452,12495,12490,00000,395,weak?
45,12521,12501,12524,12471,12450,00000,490,medium?
46,12497,12521,12473,00000,00000,00000,285,weak?
47,12497,12521,12475,12463,12488,00000,405,medium?
48,12467,12531,12497,12531,00000,00000,305,weak?
49,12514,12523,12501,12457,12531,00000,450,medium?
50,12487,12451,12464,12480,00000,00000,265,weak?
51,12480,12464,12488,12522,12458,00000,405,medium?
52,12491,12515,12540,12473,00000,00000,290,weak?
53,12506,12523,12471,12450,12531,00000,440,medium?
54,12467,12480,12483,12463,00000,00000,320,weak?
55,12468,12523,12480,12483,12463,00000,500,medium?
56,12510,12531,12461,12540,00000,00000,305,weak?
57,12458,12467,12522,12470,12523,00000,455,medium?
58,12460,12540,12487,12451,00000,00000,350,weak?
59,12454,12452,12531,12487,12451,00000,555,strong?
60,12491,12519,12525,12514,00000,00000,300,weak?
61,12491,12519,12525,12478,00000,00000,385,weak?
62,12491,12519,12525,12508,12531,00000,510,medium?
63,12465,12540,12471,12451,00000,00000,310,weak?
64,12518,12531,12466,12521,12540,00000,400,medium?
65,12501,12540,12487,12451,12531,00000,500,medium?
66,12527,12531,12522,12461,12540,00000,305,weak?
67,12468,12540,12522,12461,12540,00000,405,medium?
68,12459,12452,12522,12461,12540,00000,505,medium?
69,12510,12480,12484,12508,12511,00000,300,weak?
70,12454,12484,12489,12531,00000,00000,390,weak?
