@relation PokemonNameOnly

@attribute name1 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute name2 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute name3 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute name4 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute name5 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute name6 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}

@DATA
12471,12462,12480,12493,,,
12471,12462,12477,12454,,
12471,12462,12496,12490,,
12488,12459,12466,,,
12470,12540,12489,,,
12470,12540,12489,12531,,
12491,12460,12513,,,
12513,12540,12523,,,
12513,12483,12463,12473,,
12515,12479,12500,12540,,
12521,12531,12475,12523,,
12479,12501,12522,12540,,
12540,12489,12523,,,
12463,12540,12531,,,
12500,12450,12540,,,
12483,12509,,,,
12472,12519,12531,,,
12472,12519,12483,12488,,
12521,12483,12479,,,
12483,12479,,,,
12491,12473,12474,12513,,
12491,12489,12522,12523,,
12540,12508,,,,
12540,12508,12483,12463,,
12459,12481,12517,12454,,
12452,12481,12517,12454,,
12531,12489,,,,
12531,12489,12497,12531,,
12489,12521,12531,9792,,
12489,12522,12540,12490,,
12489,12463,12452,12531,,
12489,12521,12531,,,
12489,12522,12540,12494,,
12489,12461,12531,12464,,
12483,12500,,,,
12463,12471,12540,,,
12467,12531,,,,
12517,12454,12467,12531,,
12522,12531,,,,
12463,12522,12531,,,
12496,12483,12488,,,
12523,12496,12483,12488,,
12478,12494,12463,12469,,
12469,12452,12495,12490,,
12501,12524,12471,12450,,
12521,12473,,,,
12521,12475,12463,12488,,
12531,12497,12531,,,
12523,12501,12457,12531,,
12451,12464,12480,,,
12464,12488,12522,12458,,
12515,12540,12473,,,
12523,12471,12450,12531,,
12480,12483,12463,,,
12523,12480,12483,12463,,
12531,12461,12540,,,
12467,12522,12470,12523,,
12540,12487,12451,,,
12452,12531,12487,12451,,
12519,12525,12514,,,
12519,12525,12478,,,
12519,12525,12508,12531,,
12540,12471,12451,,,
12531,12466,12521,12540,,
12540,12487,12451,12531,,
12531,12522,12461,12540,,
12540,12522,12461,12540,,
12452,12522,12461,12540,,
12480,12484,12508,12511,,
12484,12489,12531,,,
12484,12508,12483,12488,,
12494,12463,12521,12466,,
12463,12463,12521,12466,,
12471,12484,12502,12486,,
12525,12540,12531,,,
12525,12540,12491,12515,,
12491,12540,12479,,,
12515,12525,12483,12503,,
12489,12531,,,,
12489,12521,12531,,,
12452,12523,,,,
12450,12467,12452,12523,,
12514,12493,12462,,,
12540,12489,12540,,,
12540,12489,12522,12458,,
12454,12527,12454,,,
12517,12468,12531,,,
12488,12505,12479,12540,,
12488,12505,12488,12531,,
12455,12523,12480,12540,,
12523,12471,12455,12531,,
12540,12473,,,,
12540,12473,12488,,,
12531,12460,12540,,,
12527,12540,12463,,,
12522,12540,12503,,,
12522,12540,12497,12540,,
12521,12502,,,,
12531,12464,12521,12540,,
12522,12522,12480,12510,,
12523,12510,12452,12531,,
12510,12479,12510,,,
12483,12471,12540,,,
12521,12459,12521,,,
12521,12460,12521,,,
12527,12512,12521,12540,,
12499,12527,12521,12540,,
12525,12522,12531,12460,,
12460,12540,12473,,,
12479,12489,12460,12473,,
12452,12507,12540,12531,,
12452,12489,12531,,,
12483,12461,12540,,,
12531,12472,12515,12521,,
12523,12540,12521,,,
12483,12484,12540,,,
12540,12489,12521,,,
12469,12461,12531,12488,,
12474,12510,12458,12454,,
12488,12487,12510,12531,,
12479,12540,12511,12540,,
12522,12516,12540,12489,,
12488,12521,12452,12463,,
12540,12472,12517,12521,,
12524,12502,12540,,,
12540,12496,12540,,,
12452,12525,12473,,,
12531,12479,12525,12473,,
12452,12461,12531,12464,,
12515,12521,12489,12473,,
12503,12521,12473,,,
12479,12514,12531,,,
12540,12502,12452,,,
12515,12527,12540,12474,,
12531,12480,12540,12473,,
12540,12473,12479,12540,,
12522,12468,12531,,,
12512,12490,12452,12488,,
12512,12473,12479,12540,,
12502,12488,,,,
12502,12488,12503,12473,,
12486,12521,,,,
12499,12468,12531,,,
12522,12540,12470,12540,,
12531,12480,12540,,,
12449,12452,12516,12540,,
12491,12522,12517,12454,,
12463,12522,12517,12540,,
