@relation PokemonNameOnly

@attribute name1 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute name2 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute name3 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute name4 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute name5 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute name6 {12449,12450,12451,12452,12453,12454,12455,12456,12457,12458,12459,12460,12461,12462,12463,12464,12465,12466,12467,12468,12469,12470,12471,12472,12473,12474,12475,12476,12477,12478,12479,12480,12481,12482,12483,12484,12485,12486,12487,12488,12489,12490,12491,12492,12493,12494,12495,12496,12497,12498,12499,12500,12501,12502,12503,12504,12505,12506,12507,12508,12509,12510,12511,12512,12513,12514,12515,12516,12517,12518,12519,12520,12521,12522,12523,12524,12525,12526,12527,12528,12529,12530,12531,12532,12533,12534,12535,12536,12537,12538,12539,12540,00000}
@attribute strength numeric

@DATA
12501,12471,12462,12480,12493,?,318
12501,12471,12462,12477,12454,?,405
12501,12471,12462,12496,12490,?,525
12498,12488,12459,12466,?,?,309
12522,12470,12540,12489,?,?,405
12522,12470,12540,12489,12531,?,534
12476,12491,12460,12513,?,?,314
12459,12513,12540,12523,?,?,405
12459,12513,12483,12463,12473,?,530
12461,12515,12479,12500,12540,?,195
12488,12521,12531,12475,12523,?,205
12496,12479,12501,12522,12540,?,395
12499,12540,12489,12523,?,?,195
12467,12463,12540,12531,?,?,205
12473,12500,12450,12540,?,?,395
12509,12483,12509,?,?,?,251
12500,12472,12519,12531,?,?,349
12500,12472,12519,12483,12488,?,479
12467,12521,12483,12479,?,?,253
12521,12483,12479,?,?,?,413
12458,12491,12473,12474,12513,?,262
12458,12491,12489,12522,12523,?,442
12450,12540,12508,?,?,?,288
12450,12540,12508,12483,12463,?,438
12500,12459,12481,12517,12454,?,320
12521,12452,12481,12517,12454,?,485
12469,12531,12489,?,?,?,300
12469,12531,12489,12497,12531,?,450
12491,12489,12521,12531,?,?,275
12491,12489,12522,12540,12490,?,365
12491,12489,12463,12452,12531,?,505
12491,12489,12521,12531,?,?,273
12491,12489,12522,12540,12494,?,365
12491,12489,12461,12531,12464,?,505
12500,12483,12500,?,?,?,323
12500,12463,12471,12540,?,?,483
12525,12467,12531,?,?,?,299
12461,12517,12454,12467,12531,?,505
12503,12522,12531,?,?,?,270
12503,12463,12522,12531,?,?,435
12474,12496,12483,12488,?,?,245
12468,12523,12496,12483,12488,?,455
12490,12478,12494,12463,12469,?,320
12463,12469,12452,12495,12490,?,395
12521,12501,12524,12471,12450,?,490
12497,12521,12473,?,?,?,285
12497,12521,12475,12463,12488,?,405
12467,12531,12497,12531,?,?,305
12514,12523,12501,12457,12531,?,450
12487,12451,12464,12480,?,?,265
12480,12464,12488,12522,12458,?,405
12491,12515,12540,12473,?,?,290
12506,12523,12471,12450,12531,?,440
12467,12480,12483,12463,?,?,320
12468,12523,12480,12483,12463,?,500
12510,12531,12461,12540,?,?,305
12458,12467,12522,12470,12523,?,455
12460,12540,12487,12451,?,?,350
12454,12452,12531,12487,12451,?,555
12491,12519,12525,12514,?,?,300
12491,12519,12525,12478,?,?,385
12491,12519,12525,12508,12531,?,510
12465,12540,12471,12451,?,?,310
12518,12531,12466,12521,12540,?,400
12501,12540,12487,12451,12531,?,500
12527,12531,12522,12461,12540,?,305
12468,12540,12522,12461,12540,?,405
12459,12452,12522,12461,12540,?,505
12510,12480,12484,12508,12511,?,300
12454,12484,12489,12531,?,?,390
12454,12484,12508,12483,12488,?,490
12513,12494,12463,12521,12466,?,335
12489,12463,12463,12521,12466,?,515
12452,12471,12484,12502,12486,?,300
12468,12525,12540,12531,?,?,390
12468,12525,12540,12491,12515,?,495
12509,12491,12540,12479,?,?,410
12462,12515,12525,12483,12503,?,500
12516,12489,12531,?,?,?,315
12516,12489,12521,12531,?,?,490
12467,12452,12523,?,?,?,325
12524,12450,12467,12452,12523,?,465
12459,12514,12493,12462,?,?,352
12489,12540,12489,12540,?,?,310
12489,12540,12489,12522,12458,?,460
12497,12454,12527,12454,?,?,325
12472,12517,12468,12531,?,?,475
12505,12488,12505,12479,12540,?,325
12505,12488,12505,12488,12531,?,500
12471,12455,12523,12480,12540,?,305
12497,12523,12471,12455,12531,?,525
12468,12540,12473,?,?,?,310
12468,12540,12473,12488,?,?,405
12466,12531,12460,12540,?,?,500
12452,12527,12540,12463,?,?,385
